"id","sire","dam","sex","gen","birth","exit","age"
"16339",NA,NA,"F",0,1999-01-01,2016-04-20,17.3
"16342",NA,NA,"F",0,1998-07-01,2016-05-20,17.9
"16640",NA,NA,"F",0,1998-01-01,NA,19.7
"16653",NA,NA,"M",0,1998-01-01,NA,19.7
"18181",NA,NA,"M",0,NA,NA,NA
"18194",NA,NA,"F",0,NA,NA,NA
"18206",NA,NA,"M",0,NA,NA,NA
"18211",NA,NA,"F",0,NA,NA,NA
"18234",NA,NA,"M",0,NA,NA,NA
"18256",NA,NA,"M",0,NA,NA,NA
"18276",NA,NA,"F",0,NA,NA,NA
"35393",NA,NA,"F",0,NA,2016-03-10,NA
"35394",NA,NA,"F",0,NA,NA,NA
"35397",NA,NA,"F",0,NA,NA,NA
"35483",NA,NA,"M",0,NA,NA,NA
"35491",NA,NA,"F",0,NA,NA,NA
"35493",NA,NA,"F",0,NA,NA,NA
"35510",NA,NA,"M",0,NA,NA,NA
"35513",NA,NA,"F",0,NA,NA,NA
"35525",NA,NA,"F",0,1982-04-11,NA,35.4
"35529",NA,NA,"F",0,1982-12-17,NA,34.7
"35534",NA,NA,"F",0,1982-05-02,NA,35.4
"35535",NA,NA,"F",0,1982-01-09,NA,35.7
"35540",NA,NA,"F",0,1980-04-25,NA,37.4
"35545",NA,NA,"F",0,1980-04-04,NA,37.4
"35550",NA,NA,"F",0,1981-04-09,NA,36.4
"35557",NA,NA,"F",0,1980-03-17,NA,37.5
"35560",NA,NA,"F",0,1982-05-06,NA,35.3
"35568",NA,NA,"F",0,NA,NA,NA
"35577",NA,NA,"F",0,1982-12-08,NA,34.7
"35579",NA,NA,"F",0,NA,NA,NA
"35581",NA,NA,"M",0,NA,NA,NA
"35583",NA,NA,"F",0,1982-08-17,NA,35.1
"35585",NA,NA,"F",0,NA,NA,NA
"35586",NA,NA,"F",0,NA,NA,NA
"35594",NA,NA,"F",0,1982-06-25,NA,35.2
"35598",NA,NA,"F",0,1982-05-30,NA,35.3
"35602",NA,NA,"M",0,NA,NA,NA
"35610",NA,NA,"F",0,NA,NA,NA
"35612",NA,NA,"F",0,1982-06-10,NA,35.2
"35621",NA,NA,"F",0,NA,NA,NA
"35624",NA,NA,"F",0,1982-05-20,NA,35.3
"35625",NA,NA,"F",0,NA,NA,NA
"35627",NA,NA,"F",0,1982-05-17,NA,35.3
"35629",NA,NA,"F",0,1982-06-12,NA,35.2
"35631",NA,NA,"F",0,1982-06-20,NA,35.2
"35648",NA,NA,"F",0,NA,NA,NA
"35655",NA,NA,"F",0,NA,NA,NA
"35665",NA,NA,"F",0,NA,NA,NA
"35668",NA,NA,"M",0,NA,NA,NA
"35671",NA,NA,"F",0,NA,NA,NA
"35678",NA,NA,"M",0,NA,NA,NA
"35681",NA,NA,"M",0,NA,NA,NA
"35684",NA,NA,"M",0,NA,NA,NA
"35686",NA,NA,"F",0,NA,NA,NA
"35694",NA,NA,"M",0,NA,NA,NA
"35697",NA,NA,"M",0,NA,NA,NA
"35702",NA,NA,"F",0,NA,NA,NA
"35704",NA,NA,"F",0,1988-03-03,NA,29.5
"35706",NA,NA,"F",0,1988-05-08,NA,29.3
"35707",NA,NA,"F",0,NA,NA,NA
"35720",NA,NA,"F",0,NA,NA,NA
"35726",NA,NA,"M",0,NA,NA,NA
"35729",NA,NA,"M",0,NA,NA,NA
"35730",NA,NA,"M",0,NA,NA,NA
"35732",NA,NA,"M",0,NA,NA,NA
"35740",NA,NA,"F",0,NA,NA,NA
"35750",NA,NA,"M",0,NA,NA,NA
"35753",NA,NA,"M",0,NA,NA,NA
"35754",NA,NA,"M",0,1989-07-07,NA,28.2
"35758",NA,NA,"F",0,NA,NA,NA
"35761",NA,NA,"M",0,NA,NA,NA
"35762",NA,NA,"M",0,NA,NA,NA
"35765",NA,NA,"M",0,NA,NA,NA
"35770",NA,NA,"M",0,NA,NA,NA
"35776",NA,NA,"F",0,NA,NA,NA
"35777",NA,NA,"F",0,NA,NA,NA
"35820",NA,NA,"M",0,NA,NA,NA
"35827",NA,NA,"F",0,NA,NA,NA
"35833",NA,NA,"F",0,1978-03-19,NA,39.5
"35838",NA,NA,"F",0,1978-06-12,NA,39.2
"35846",NA,NA,"F",0,NA,NA,NA
"35849",NA,NA,"F",0,1982-05-12,NA,35.3
"35850",NA,NA,"F",0,1980-04-24,NA,37.4
"35852",NA,NA,"M",0,1978-05-28,NA,39.3
"35853",NA,NA,"F",0,NA,NA,NA
"35857",NA,NA,"F",0,1979-03-04,NA,38.5
"35859",NA,NA,"F",0,NA,NA,NA
"35860",NA,NA,"F",0,NA,NA,NA
"35862",NA,NA,"F",0,1978-02-23,NA,39.5
"35864",NA,NA,"F",0,1979-06-06,NA,38.3
"35868",NA,NA,"F",0,NA,NA,NA
"35869",NA,NA,"M",0,1978-04-26,NA,39.4
"35871",NA,NA,"M",0,1978-04-27,NA,39.4
"35872",NA,NA,"M",0,1978-05-12,NA,39.3
"35876",NA,NA,"F",0,1979-07-31,NA,38.1
"35881",NA,NA,"M",0,NA,NA,NA
"35882",NA,NA,"F",0,1979-09-07,NA,38
"35884",NA,NA,"F",0,NA,NA,NA
"35890",NA,NA,"M",0,NA,NA,NA
"35891",NA,NA,"F",0,NA,NA,NA
"35892",NA,NA,"F",0,1978-05-03,NA,39.3
"35894",NA,NA,"M",0,NA,NA,NA
"35898",NA,NA,"F",0,NA,NA,NA
"35900",NA,NA,"M",0,NA,NA,NA
"35907",NA,NA,"M",0,NA,NA,NA
"35908",NA,NA,"M",0,NA,NA,NA
"35911",NA,NA,"M",0,NA,NA,NA
"35912",NA,NA,"M",0,NA,NA,NA
"35916",NA,NA,"F",0,NA,NA,NA
"35919",NA,NA,"F",0,NA,NA,NA
"35921",NA,NA,"F",0,NA,NA,NA
"35931",NA,NA,"F",0,NA,NA,NA
"U0001",NA,NA,"M",0,NA,NA,NA
"U0002",NA,NA,"M",0,NA,NA,NA
"U0003",NA,NA,"M",0,NA,NA,NA
"U0004",NA,NA,"M",0,NA,NA,NA
"U0005",NA,NA,"M",0,NA,NA,NA
"U0006",NA,NA,"M",0,NA,NA,NA
"U0007",NA,NA,"M",0,NA,NA,NA
"U0008",NA,NA,"M",0,NA,NA,NA
"U0009",NA,NA,"M",0,NA,NA,NA
"U0010",NA,NA,"M",0,NA,NA,NA
"U0011",NA,NA,"F",0,NA,NA,NA
"16645","U0001","35393","M",1,1998-01-01,NA,19.7
"16646","U0002","35394","M",1,1998-01-01,NA,19.7
"16657","U0003","35397","M",1,1998-01-01,2016-05-05,18.3
"17517","U0004","18211","F",1,1985-10-11,2003-07-17,17.8
"17553","18181","18194","F",1,1988-08-02,2008-05-12,19.8
"17588","18234","18276","F",1,1991-08-23,2014-06-10,22.8
"31310","16653","16640","M",1,2011-06-14,NA,6.2
"33914","35581","35621","F",1,1999-05-27,2016-03-11,16.8
"35505","35872","35859","F",1,1985-04-05,NA,32.4
"35511","35912","35627","M",1,1987-04-05,NA,30.4
"35517","U0005","35859","F",1,1983-04-10,NA,34.4
"35537","35753","35919","M",1,1979-04-17,NA,38.4
"35542","35869","35833","F",1,1990-05-02,NA,27.4
"35565","U0006","35557","M",1,1985-03-23,NA,32.5
"35566","35871","35864","M",1,1986-04-27,NA,31.4
"35589","35872","35849","F",1,1984-05-15,NA,33.3
"35592","35912","35525","F",1,1987-05-07,NA,30.3
"35597","35907","35534","F",1,1990-05-19,NA,27.3
"35605","35894","35577","F",1,1992-04-26,NA,25.4
"35633","35869","35624","M",1,1991-04-21,NA,26.4
"35644","35871","35864","F",1,1984-06-12,NA,33.2
"35649","U0007","35491","F",1,1979-05-29,NA,38.3
"35652","35697","35891","M",1,1977-05-01,NA,40.4
"35667","U0008","35862","F",1,1983-06-21,NA,34.2
"35680","35907","35625","F",1,1982-06-21,NA,35.2
"35682","35907","35931","F",1,1983-06-24,NA,34.2
"35690","35900","35921","F",1,1978-05-10,NA,39.3
"35691","35912","35702","M",1,1983-06-28,NA,34.2
"35695","35694","35655","F",1,1973-03-28,NA,44.4
"35705","35881","35586","F",1,1983-07-11,NA,34.2
"35723","35753","35586","M",1,1981-09-04,NA,36
"35724","35762","35827","F",1,1980-05-31,NA,37.3
"35731","35729","35720","F",1,1983-08-10,NA,34.1
"35735","35730","35777","F",1,1985-08-20,NA,32
"35736","35697","35707","M",1,1977-07-14,NA,40.2
"35745","35697","35868","M",1,1977-06-30,NA,40.2
"35746","35872","35560","F",1,1992-05-29,NA,25.3
"35763","35581","35610","F",1,2000-07-15,NA,17.1
"35793","35753","35758","M",1,1978-07-20,NA,39.1
"35796","35762","35827","F",1,1979-08-01,NA,38.1
"35798","35852","35535","F",1,1992-07-09,NA,25.2
"35815","35869","35612","F",1,1992-07-30,NA,25.1
